5.020740000000000203e-01 4.182276420000000144e+03 1.664410000000000082e+03 8.700100000000000364e+03
1.501959999999999962e+00 1.251132679999999891e+04 7.956899999999999636e+03 3.063190000000000146e+04
2.501809999999999867e+00 2.084007729999999719e+04 1.565400000000000000e+04 3.911430000000000291e+04
3.501619999999999955e+00 2.916849459999999817e+04 2.566900000000000000e+04 4.375830000000000291e+04
4.501389999999999780e+00 3.749657869999999821e+04 4.182209999999999854e+04 4.380659999999999854e+04
5.501170000000000115e+00 4.582474610000000393e+04 4.478640000000000146e+04 4.672630000000000291e+04
6.500949999999999562e+00 5.415291349999999511e+04 4.979230000000000291e+04 5.532450000000000000e+04
7.500700000000000145e+00 6.248083099999999831e+04 5.760340000000000146e+04 6.526030000000000291e+04
8.500439999999999330e+00 7.080866519999998854e+04 6.608530000000000291e+04 7.557219999999999709e+04
9.500149999999999650e+00 7.913624949999999080e+04 7.473069999999999709e+04 8.672519999999999709e+04
