4.166666666666666852e-01 3.470833333333333485e+03 -1.022110288387001310e+04 1.717956282238890708e+04
1.250000000000000000e+00 1.041250000000000000e+04 -4.971876062722709321e+03 2.581361848518177794e+04
2.083333333333333481e+00 1.735416666666666788e+04 2.458048597595154206e+03 3.226807637718142723e+04
2.916666666666666963e+00 2.429583333333333576e+04 1.191123412201848259e+04 3.670008792443329003e+04
3.750000000000000000e+00 3.123750000000000000e+04 2.381240763439947841e+04 3.868490213912899344e+04
4.583333333333333925e+00 3.817916666666667152e+04 4.004928369085188024e+04 3.633527516509291308e+04
5.416666666666666963e+00 4.512083333333333576e+04 4.659238282949485438e+04 4.367339046286504890e+04
6.250000000000000000e+00 5.206250000000000000e+04 5.354177657165822166e+04 5.060524567614632542e+04
7.083333333333333925e+00 5.900416666666667152e+04 5.979728233012610144e+04 5.823114327283424063e+04
7.916666666666666963e+00 6.594583333333334303e+04 6.619177775169308006e+04 6.571815476864960510e+04
8.750000000000000000e+00 7.288750000000000000e+04 7.288365613989229314e+04 7.290793185325236118e+04
9.583333333333333925e+00 7.982916666666667152e+04 7.988710277819693147e+04 7.978631553564331261e+04
