-0.416666667	3.47083	31.6569	-24.7153	3.50922
-1.25	10.4125	37.578	-16.753	10.4224
-2.083333333	17.3542	41.8234	-7.11505	17.3445
-2.916666667	24.2958	44.4077	4.18398	24.2717
-3.75	31.2375	45.0574	17.4176	31.2009
-4.583333333	38.1792	43.0362	33.3221	38.1256
-5.416666667	45.1208	42.0539	48.1878	45.1047
-6.25	52.0625	52.5476	51.5774	52.0398
-7.083333333	59.0042	60.2882	57.7202	58.9744
-7.916666667	65.9458	67.3905	64.5011	65.9083
-8.75	72.8875	74.2317	71.5432	72.8403
-9.583333333	79.8292	80.9458	78.7125	79.7693
