4.166666666666666852e-01 3.470833333333333485e+03 -2.049642890759059810e+04 2.744392017112403846e+04
1.250000000000000000e+00 1.041250000000000000e+04 -1.237716924631788788e+04 3.320364208252042590e+04
2.083333333333333481e+00 1.735416666666666788e+04 -2.747801558358296461e+03 3.745586477953474969e+04
2.916666666666666963e+00 2.429583333333333576e+04 8.543502564212085417e+03 4.004679730775718053e+04
3.750000000000000000e+00 3.123750000000000000e+04 2.198433179733164434e+04 4.048836023092259711e+04
4.583333333333333925e+00 3.817916666666667152e+04 3.882344702605877683e+04 3.753496087171888939e+04
5.416666666666666963e+00 4.512083333333333576e+04 4.739995928933255345e+04 4.283225261207931180e+04
6.250000000000000000e+00 5.206250000000000000e+04 5.312416235047121154e+04 5.099931042800217983e+04
7.083333333333333925e+00 5.900416666666667152e+04 5.933116361592391331e+04 5.867643005452232319e+04
7.916666666666666963e+00 6.594583333333334303e+04 6.581919725141182425e+04 6.606996091494741268e+04
8.750000000000000000e+00 7.288750000000000000e+04 7.247737462997059629e+04 7.329203297757684777e+04
9.583333333333333925e+00 7.982916666666667152e+04 7.924161535434970574e+04 8.040708222585242765e+04
